"Symbol","Name","Price (Intraday)","Change","Change %","Volume","YTD Return","3-Mo Return","1-Year Return","3-Year Return","5-Year Return","Net Expense Ratio","Gross Expense Ratio","Net Assets","Morningstar Rating","50 Day Avg","200 Day Average","Exchange","Funds by Category","Funds by Company"
"SKOR","FlexShares Credit-Scored US Corporate Bond Index Fund","48.78","-0.06","-0.11%","17,003","0.57%","0.42%","8.00%","7.54%","-1.20%","0.15","0.16","687.36M","4","48.91","49.02","Nasdaq GM","Corporate Bond","Flexshares Trust"
"FLDB","Fidelity Low Duration Bond ETF","50.40","0.01","0.01%","633","","","","","","0.20","0.20","405.606M","","50.42","50.52","Nasdaq GM","Ultrashort Bond","Fidelity Investments"
"FEMB","First Trust Emerging Markets Local Currency Bond ETF","30.11","0.00","0.00%","40,222","2.55%","1.63%","20.78%","16.82%","-13.35%","0.85","0.85","358.697M","3","29.85","29.51","Nasdaq GM","Emerging-Markets Local-Currency Bond","First Trust"
"HYZD","WisdomTree Interest Rate Hedged High Yield Bond Fund","22.52","-0.02","-0.09%","16,423","1.50%","0.83%","7.33%","11.96%","5.77%","0.43","0.43","224.035M","5","22.40","22.47","Nasdaq GM","Nontraditional Bond","WisdomTree"
"HYBI","NEOS Enhanced Income Credit Select ETF","49.61","-0.06","-0.12%","10,181","","","","","","0.68","0.70","209.231M","","49.84","50.33","Nasdaq GM","Nontraditional Bond","Neos Funds"
"HYXF","iShares ESG Advanced High Yield Corporate Bond ETF","46.79","-0.01","-0.01%","3,429","0.54%","0.03%","8.81%","12.47%","2.91%","0.35","0.35","194.165M","3","46.71","47.12","Nasdaq GM","High Yield Bond","iShares"
"SDSI","American Century Short Duration Strategic Income ETF","51.38","-0.03","-0.06%","8,756","","","","","","0.32","0.32","189.415M","","51.49","51.55","Nasdaq GM","Short-Term Bond","American Century Investments"
"TMB","Thornburg Multi Sector Bond ETF","25.59","-0.05","-0.18%","19,182","","","","","","0.55","0.55","176.651M","","25.66","25.63","Nasdaq GM","Multisector Bond","Thornburg"
"LDSF","First Trust Low Duration Strategic Focus ETF","19.05","0.01","0.05%","11,215","0.58%","0.22%","6.73%","6.61%","-0.33%","0.77","0.77","161.663M","3","19.06","19.10","Nasdaq GM","Short-Term Bond","First Trust"
"GTOQ","Invesco High Yield Systematic B","22.46","-0.01","-0.03%","4,346","","","","","","0.39","0.39","159.368M","","22.39","22.60","Nasdaq GM","High Yield Bond","Invesco"
